"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","21-Jan-2016","        342.25","        340.65","        344.15","        323.00","        327.60","        328.55","        330.92","   16524035","          5468131177.90","     149035"
"TATAMOTORS","EQ","22-Jan-2016","        328.55","        335.50","        345.90","        331.50","        339.65","        339.50","        338.81","    9595392","          3251057157.20","     102494"
"TATAMOTORS","EQ","25-Jan-2016","        339.50","        345.50","        345.50","        331.15","        333.60","        332.60","        338.90","    6106931","          2069632852.25","      88259"
"TATAMOTORS","EQ","27-Jan-2016","        332.60","        338.00","        341.00","        333.20","        336.90","        337.05","        337.70","    8333202","          2814138079.75","      79518"
"TATAMOTORS","EQ","28-Jan-2016","        337.05","        336.30","        341.40","        332.30","        333.85","        334.20","        335.31","   13153617","          4410479188.20","      87267"
"TATAMOTORS","EQ","29-Jan-2016","        334.20","        332.00","        340.60","        324.20","        336.90","        336.90","        334.46","   10350998","          3462041237.50","     110669"
"TATAMOTORS","EQ","01-Feb-2016","        336.90","        338.75","        342.40","        332.25","        335.25","        338.50","        337.69","    6563774","          2216535914.35","      69594"
"TATAMOTORS","EQ","02-Feb-2016","        338.50","        343.80","        344.70","        327.70","        329.00","        329.55","        336.62","    9179304","          3089960402.75","     111160"
"TATAMOTORS","EQ","03-Feb-2016","        329.55","        325.55","        325.95","        317.05","        320.95","        320.30","        321.17","    6685445","          2147138625.65","      93400"
"TATAMOTORS","EQ","04-Feb-2016","        320.30","        325.30","        329.30","        321.20","        327.05","        325.50","        325.79","    6086981","          1983074734.30","      91156"
"TATAMOTORS","EQ","05-Feb-2016","        325.50","        330.50","        339.00","        326.65","        336.70","        337.10","        333.64","    9236577","          3081712197.10","     123929"
"TATAMOTORS","EQ","08-Feb-2016","        337.10","        334.95","        334.95","        321.35","        322.45","        323.50","        328.82","    6974342","          2293290572.30","      85772"
"TATAMOTORS","EQ","09-Feb-2016","        323.50","        319.50","        322.65","        308.80","        311.05","        310.65","        315.09","   12489713","          3935422389.55","     186452"
"TATAMOTORS","EQ","10-Feb-2016","        310.65","        309.85","        309.95","        288.25","        288.70","        291.55","        296.13","   21756193","          6442687119.75","     213764"
"TATAMOTORS","EQ","11-Feb-2016","        291.55","        298.50","        300.00","        265.80","        271.30","        276.35","        286.23","   21632886","          6191986128.65","     183602"
"TATAMOTORS","EQ","12-Feb-2016","        276.35","        281.00","        303.95","        271.60","        296.05","        298.35","        289.45","   21542152","          6235428493.55","     232099"
"TATAMOTORS","EQ","15-Feb-2016","        298.35","        297.90","        320.75","        297.70","        316.05","        317.25","        312.33","   18888699","          5899487907.15","     207165"
"TATAMOTORS","EQ","16-Feb-2016","        317.25","        319.40","        324.20","        298.90","        301.80","        301.15","        312.46","   13598374","          4248887884.95","     151955"
"TATAMOTORS","EQ","17-Feb-2016","        301.15","        302.95","        313.50","        298.65","        312.10","        310.15","        305.90","   13717526","          4196137895.80","     126449"
"TATAMOTORS","EQ","18-Feb-2016","        310.15","        315.15","        319.10","        306.20","        312.15","        314.00","        313.86","   12498247","          3922759418.45","     194648"
"TATAMOTORS","EQ","19-Feb-2016","        314.00","        312.10","        320.00","        311.10","        318.05","        318.20","        315.54","    7706462","          2431659393.65","      89924"
"TATAMOTORS","EQ","22-Feb-2016","        318.20","        320.00","        324.20","        313.60","        319.80","        318.85","        318.05","    8699779","          2766945427.10","     110227"
"TATAMOTORS","EQ","23-Feb-2016","        318.85","        324.00","        324.75","        314.45","        317.50","        318.55","        318.20","   11635881","          3702513927.05","     125251"
"TATAMOTORS","EQ","24-Feb-2016","        318.55","        316.00","        316.00","        304.75","        306.55","        306.30","        309.19","    7629905","          2359103428.95","      96807"
"TATAMOTORS","EQ","25-Feb-2016","        306.30","        309.80","        312.20","        296.20","        299.70","        298.20","        303.10","   12959812","          3928138651.40","     107446"
"TATAMOTORS","EQ","26-Feb-2016","        298.20","        303.20","        305.20","        297.60","        302.25","        301.80","        301.28","    9181680","          2766223509.70","      77802"
"TATAMOTORS","EQ","29-Feb-2016","        301.80","        303.20","        305.75","        290.25","        300.00","        299.70","        300.18","   12607181","          3784469911.95","     117824"
"TATAMOTORS","EQ","01-Mar-2016","        299.70","        301.10","        317.00","        301.10","        315.00","        315.35","        309.66","   11440045","          3542502719.25","     121563"
"TATAMOTORS","EQ","02-Mar-2016","        315.35","        322.90","        326.00","        314.35","        316.55","        317.10","        320.81","   12418149","          3983874902.80","     149616"
"TATAMOTORS","EQ","03-Mar-2016","        317.10","        324.50","        339.80","        321.50","        337.00","        336.70","        331.85","   12844057","          4262265334.00","     156733"
"TATAMOTORS","EQ","04-Mar-2016","        336.70","        340.15","        348.75","        338.65","        343.45","        343.50","        344.20","    8197520","          2821562337.85","     112411"
"TATAMOTORS","EQ","08-Mar-2016","        343.50","        346.50","        353.75","        341.50","        345.50","        346.05","        347.53","    7888999","          2741665867.10","      89966"
"TATAMOTORS","EQ","09-Mar-2016","        346.05","        339.90","        349.00","        336.00","        347.75","        347.70","        343.33","    6383925","          2191801852.40","      79926"
"TATAMOTORS","EQ","10-Mar-2016","        347.70","        347.00","        353.60","        341.40","        348.20","        348.50","        347.80","    7443048","          2588712313.35","      75453"
"TATAMOTORS","EQ","11-Mar-2016","        348.50","        348.50","        355.90","        345.15","        353.35","        354.25","        350.40","    7641330","          2677532365.50","      95835"
"TATAMOTORS","EQ","14-Mar-2016","        354.25","        359.90","        370.55","        358.95","        365.50","        366.45","        366.41","   13066837","          4787830891.75","     125898"
"TATAMOTORS","EQ","15-Mar-2016","        366.45","        366.90","        370.70","        359.55","        361.20","        360.40","        363.79","    9800731","          3565450813.70","     105988"
"TATAMOTORS","EQ","16-Mar-2016","        360.40","        359.95","        362.75","        353.30","        362.00","        359.55","        357.53","    7554537","          2700966415.50","      86141"
"TATAMOTORS","EQ","17-Mar-2016","        359.55","        366.90","        367.40","        358.60","        359.50","        360.90","        363.54","    6914296","          2513595483.20","      80395"
"TATAMOTORS","EQ","18-Mar-2016","        360.90","        362.50","        367.80","        362.50","        366.05","        366.05","        365.33","    6594019","          2409004384.70","      69743"
"TATAMOTORS","EQ","21-Mar-2016","        366.05","        367.25","        375.50","        365.75","        374.85","        374.70","        371.35","    9325793","          3463154601.40","     124058"
"TATAMOTORS","EQ","22-Mar-2016","        374.70","        376.95","        381.50","        370.40","        376.00","        377.20","        376.28","    8909026","          3352319119.95","     128918"
"TATAMOTORS","EQ","23-Mar-2016","        377.20","        378.00","        379.45","        374.05","        376.00","        377.00","        376.74","    5766182","          2172356144.85","      98825"
"TATAMOTORS","EQ","28-Mar-2016","        377.00","        375.50","        375.50","        361.50","        364.00","        363.30","        368.20","    8062793","          2968744549.55","      76005"
